"Punkt wysy³k./Punkt przyj.","Trasa","Data dostêpn. mat.","Czas przygot. mat.","Dzia³ sprzeda¿y","Data wydania mat.","Czas wydania mat.","Spedytor","Kraj docelowy","min.(15)","GA(15)"
"3000","654","42704.0","0.0","0050","42704.0","0.0","WERK","DE","0.0","0.0"
"3000","91151","42704.0","0.0","0050","42704.0","0.0","OST","AT","388.0","2.3"
"3000","91151","42704.0","0.0","0060","42704.0","0.0","OST","IT","424.0","2.2"
"3000","91161","42704.0","0.0","0060","42704.0","0.0","OST","CH","688.0","3.76"
"3000","91171","42704.0","0.0","0060","42704.0","0.0","OST","HU,SK","576.58","2.93"
"3000","91332","42704.0","0.0","0060","42704.0","0.0","OST","CZ","1022.4","5.23"
"3000","9136","42704.0","0.0","0060","42704.0","0.0","JANIPOL SP","NL","1907.99","9.09"
"3000","17476","42704.0","0.25","0050","42704.0","0.27083333333333","JANIPOL SP","DE","4740.6","23.54"
"3000","17366","42704.0","0.35208333333333","0050","42704.0","0.37291666666667","JANIPOL SP","DE","3460.45","18.69"
"3000","17432","42704.0","0.27083333333333","0050","42704.0","0.375","JANIPOL SP","AT","4627.0","24.87"
"3000","17442","42704.0","0.3","0050","42704.0","0.40416666666667","BABINSKI","AT","4774.2","24.65"
"3000","17478","42704.0","0.33333333333333","0050","42704.0","0.41666666666667","BABINSKI","DE","5725.2","28.54"
"3000","17443","42704.0","0.42708333333333","0050","42704.0","0.53125","JANIPOL SP","AT","4409.0","23.25"
"3000","17463","42704.0","0.55","0050","42704.0","0.65416666666667","BABINSKI","DE","5899.52","31.21"
"3000","17474","42704.0","0.79791666666667","0050","42704.0","0.81875","JANIPOL SP","DE","4491.81","23.06"
"3000","17472","42704.0","0.82638888888889","0050","42704.0","0.84722222222222","JANIPOL SP","DE","4896.0","23.97"
"3000","17365","42704.0","0.83611111111111","0050","42704.0","0.85694444444444","JANIPOL SP","DE","4628.0","26.79"
"3000","17369","42704.0","0.85277777777778","0050","42704.0","0.87361111111111","JANIPOL SP","AT","4462.25","22.0"
"3000","17445","42704.0","0.77361111111111","0050","42704.0","0.87777777777778","JANIPOL SP","AT","4924.0","28.1"
"3000","17370","42704.0","0.89583333333333","0050","42704.0","0.91666666666667","JANIPOL SP","AT","4425.16","22.5"
"3000","17470","42704.0","0.89583333333333","0050","42704.0","0.91666666666667","JANIPOL SP","DE","5387.95","27.42"
"3000","17475","42704.0","0.89583333333333","0050","42704.0","0.91666666666667","JANIPOL SP","DE","5048.0","26.22"
"3000","17477","42704.0","0.89583333333333","0050","42704.0","0.91666666666667","JANIPOL SP","DE","4564.1","24.08"
"","","","","","","","","","81470.21","424.4"
